Codigo,Clase,Familia,Descripcion,Tallas,Marca,Color,Composicion,Precio_reg,Precio_final
300028,BOLSAS,DE MANO,FW26 BOLSA CRUZADA CON FULL PRINT COLOR CAFE CON HERRAJES DORADOS MARCA JLO,10,JENNIFER LOPEZ,BROWN,SYNTHETIC 100%.,549,549
300039,BOLSAS,DE MANO,ECOM BOLSA GUESS FACTORY HAYWORTH SATCHEL COLOR CAFE MEDIO,10,SIN MARCA,CAFE,PVC 100 %.,2599,2599
300042,BOLSAS,DE MANO,ECOM BOLSA GUESS FACTORY NICHOLE SATCHEL,10,GUESS FACTORY,NEGRO,PVC 100 %.,2499,2499
300064,BOLSAS,DE MANO,ECOM BOLSA GUESS FACTORY NICHOLE SATCHEL,10,GUESS FACTORY,CAFE,PVC 100 %.,2499,2499
300069,BOLSAS,MOCHILA,BOLSA DAMA ESTILO BACK PACK. COLORES NEGRO Y ROJO,10,CLX BY CHRISTIAN LACROIX,ASSORTED,POLYESTER 100%.,549,549
300073,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA DAMA CUELLO REDONDO COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,COTTON 60%. POLYESTER 35%. SPANDEX 5%.,229,229
300078,BLUSA JUVENIL,MODA SM,ECOMM  CHALECO CORTO DE MEZCLILLA  AZUL CLARO  DESLAVADO,70/90/110/130,BEBE,AZUL MEZCLILLA,ALGODON 100%.,459,459
300080,BLUSA JUVENIL,MODA ML,BLUSA MANGA LARGA DAMA CUELLO REDONDO COLOR OLIVO,70/90/110,POOF NEW YORK,OLIVO,COTTON 60%. POLIESTER 35%. SPANDEX 5%.,229,229
300088,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CUELLO CON APERTURA EN ESPALDA COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,POLYESTER 60%. RAYON 35%. SPANDEX 5%.,199,89
300090,BOLSAS,CRUZADA,"BOLSA DAMA TIPO CARTERA CON ZIPPER QUE CUBRE TODO ALDEDOR. COLORES NEGRO, ROJO OSCURO, NEGRO CON DISEÑO Y AZUL CLARO.",10,FRENCH CONNECTION,ASSORTED,POLYESTER 100%.,349,149
300091,BLUSA JUVENIL,MODA SM,ECOMM  CHALECO CORTO DE MEZCLILLA  AZUL DESLAVADO,70/90/110/130,BEBE,AZUL MEZCLILLA,ALGODON 100%.,459,459
300092,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CON ELASTICO EN MANGAS COLOR NEGRA,70/90/110,POOF NEW YORK,BLACK,COTTON 100%.,299,149
300093,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CON ELASTICO EN MANGAS COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,COTTON 100%.,299,149
300094,BLUSA JUVENIL,MODA MC,BLUSA MANGA CORTA CON ELASTICO EN MANGAS COLOR LAVANDA,70/90/110,POOF NEW YORK,LAVANDA,COTTON 100%.,299,119
300095,BOLSAS,CRUZADA,"BOLSA DAMA ACOLCHADA ESTILO CROSSBODY. COLORES NEGRO, NEUTRAL Y ROJO",10,CLX BY CHRISTIAN LACROIX,ASSORTED,POLYESTER 100%.,549,549
300096,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS CON OLAN EN LA PARTE DE ABAJO COLOR NEGRA,90/110,POOF EXCELLENCE,BLACK,NYLON 94%. SPANDEX 6%.,129,89
300098,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS CON OLAN EN LA PARTE DE ABAJO COLOR BLANCA,90/110,POOF EXCELLENCE,WHITE,NYLON 94%. SPANDEX 6%.,129,89
300099,BOLSAS,CRUZADA,"BOLSA DE HOMBRO PARA DAMA, CON CADENA. COLORES NEGRO, NEUTRAL, ROJO Y CAFÉ CLARO",10,CLX BY CHRISTIAN LACROIX,ASSORTED,POLYESTER 100%.,559,559
300100,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  VESTIDO DE MEZCLILLA AZUL CLARO  DE TIRANTES Y FALDA A LA PANTORILLA  EXCUSIVO .COM JLO,70/90/110,JENNIFER LOPEZ,AZUL MEZCLILLA,LYOCEL 100%.,699,699
300101,BLUSA JUVENIL,MODA SM,ECOMM  CHALECO CORTO DE MEZCLILLA  GRIS  DESLAVADO,70/90/110/130,BEBE,GRIS,ALGODON 100%.,459,459
300104,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS CON OLAN EN LA PARTE DE ABAJO COLOR ROSA,90/110,POOF EXCELLENCE,PINK,NYLON 94%. SPANDEX 6%.,129,49
300113,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS COLOR NEGRA,70/90/110,POOF NEW YORK,BLACK,POLIESTER 92%. SPANDEX 8%.,169,79
300115,BLUSA JUVENIL,MODA SM,BLUSA SIN MANGAS COLOR BLANCA,70/90/110,POOF NEW YORK,WHITE,POLIESTER 92%. SPANDEX 8%.,169,89
300118,VESTIDO JUVENIL,VESTIDO CASUAL,VESTIDO DE TIRANTES CON ESTAMPADO DE FIGURAS COLOR NEGRO,70/90/110,POOF NEW YORK,BLACK,COTTON 60%. POLIESTER 40%.,199,149
300123,BLUSA JUVENIL,MODA SM,ECOMM  BLUSA TIPO CORSET CON DETALLES DE IMITACIÓN DIAMANTE,70/90/110/130,BEBE,AZUL,ALGODON 70%. POLIESTER 28%. ELASTANO 2%.,449,449
300124,VESTIDO JUVENIL,VESTIDO CASUAL,VESTIDO CORTO CON BLUSA SOBREPUESTA COLOR NEGRO,70/90/110,SIN MARCA,BLACK,POLIESTER 60%. RAYON 35%. SPANDEX 5%.,299,149
