competidor,nombre_comp,desc_comp,precio_comp,precio_compF
Zara,PANTALÓN ANCHO CORTO,"Pantalón de tiro alto con bolsillos delanteros. Pierna ancha y corta. Cierre frontal con zipper, botón interior y gancho.COMPOSICIÓN: 94% poliéster y 6% elastano",699,699
Zara,PANTALÓN RECTO TIRO BAJO,"Pantalón de tiro bajo con bolsillos delanteros y falsos bolsillos de vivo en espalda. Pernera recta. Cierre frontal con zipper, botón interior y gancho. COMPOSICIÓN: 74% poliéster,19% viscosa y 7% elastano",1099,1099
Zara,PANTALÓN ACAMPANADO COSTURAS LATERALES,"Pantalón con costuras laterales marcadas. Bajo en evasé. Cierre frontal con botón interior y zipper.COMPOSICIÓN: 71% poliéster, 22% viscosa y 7% elastano",799,799
Zara,VESTIDO MINI DENIM TRF,Vestido de escote corazón y tirantes finos. Dobladillo con volante. Cierre lateral con zipper. 100% algodón,699,699
Zara,CHAMARRA MEZCLILLA TRF ROTOS,Chamarra crop de cuello solapa y manga larga con hombrera. Efecto lavado. Bolsillos de plastrón con solapa en pecho. Detalle de rotos. Bajo acabado con frunces. Cierre frontal con botones. 100% algodón,849,849
Zara,SHORTS MEZCLILLA TRF CINTURÓN,Shorts mini de tiro bajo con trabillas y bolsillos delanteros. Detalle de rotos y cinturón ancho en el mismo tejido. 100% algodón,699,699
Zara,TOP CROP CORSETERO POPELINA,Top crop de escote recto. Tirantes finos ajustables con lazada. Bajo acabado con volante. Forro interior combinado a tono. Cierre en espalda con zipper. 97% algodón y 3% elastano,549,549
Zara,FALDA Z1975 MIDI DENIM COSTURAS,"Falda midi con costuras marcadas. Bajo en evasé acabado sin costuras. Cierre frontal con zipper, botón interior y gancho. 100% algodón",849,849
Zara,TOP Z1975 HALTER DENIM GLOBO,Top de cuello halter con escote pico y espalda descubierta. Bajo abullonado con elástico interno. Detalle de pespuntes en color rojo. Cierre en cuello con nudo y cremallera lateral. 100% algodon,849,849
Zara,BLAZER MEZCLA LINO ZW COLLECTION,"Blazer confeccionado en hilatura con mezcla de lino. Cuello alto y manga larga con abertura y botones. Bolsillos con solapa en la parte delantera. Detalle de presilla con botón en la espalda. Cierre frontal con botones. 60% lino, 40% algodón y FORRO: 100% viscosa",2199,2199
Zara,BLAZER RÚSTICA BOTONES,Blazer de cuello redondo y escote pico. Manga larga. Falsos bolsillos con solapa al frente. Cierre frontal con botones metálicos. 100% algodón,849,849
Zara,BLAZER ENTALLADO HOMBRERAS,Blazer entallado de cuello sin solapa y manga larga con hombreras. Falsos bolsillos delanteros de vivo. Cierre frontal con un botón. Composición: 85% algodón y 15% poliéster. FORRO: 100% acetato,1399,1399
Zara,TOP HALTER ESCOTE REDONDO LUNARES,"Top de cuello halter y escote corazón. Detalle de frunces en delantero. Forro combinado a tono. Cierre lateral con zipper oculto en costura.97% algodón, 3% elastano y  FORRO: 100% poliéster",549,549
